Brand,Operating System,RAM Type,RAM Size,Disc Type,Disc Size,MRP
ASUS,64 bit Windows 10,DDR4,16GB,SSD,512GB,69490
ASUS,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,LPDDR5,16GB,SSD,512GB,99990
APPLE,MMac OS,Unified,16GB,SSD,1TB,241990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,40990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,60390
HP,64 bit Windows 10,DDR4,8GB,HDD,1TB,69990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,256GB,44990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
ASUS,Windows 11,DDR4,8GB,SSD,256GB,44990
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,60390
ASUS,64 bit Windows 10,DDR4,16GB,SSD,512GB,69490
HP,64 bit Windows 11,DDR4,8GB,SSD,512GB,40799
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
HP,64 bit Windows 11,DDR4,16GB,SSD,512GB,55990
Lenovo,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,74990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
HP,64 bit Windows 10,DDR4,8GB,HDD,1TB,69990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,256GB,44990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,1TB,59990
APPLE,MMac OS,Unified,16GB,SSD,512GB,222990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,74770
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,109990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,62990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,40990
MSI,64 bit Windows 10,DDR4,8GB,SSD,512GB,58499
Lenovo,64 bit Windows 10,DDR4,8GB,HDD,1TB,65990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
DELL,64 bit Windows 11,DDR5,16GB,SSD,512GB,111990
Lenovo,64 bit Windows 11,DDR4,16GB,SSD,512GB,68490
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
Infinix,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,46990
ASUS,64 bit Windows 10,DDR4,8GB,HDD,1TB,83990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,54990
ASUS,32GB EMMC,LPDDR4,4GB,,,14990
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
APPLE,MMac OS,DDR4,8GB,SSD,1TB,149990
DELL,5Operating System64 bit Windows 10,DDR4,8GB,SSD,512GB,63090
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
MSI,64 bit Windows 11,DDR5,16GB,SSD,1TB,200000
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,37390
ASUS,Windows 11,LPDDR4X,8GB,SSD,512GB,63990
DELL,64 bit Windows 10,DDR4,8GB,SSD,512GB,43090
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,44990
Lenovo,64 bit Windows 10,DDR4,4GB,SSD,256GB,44700
HP,64 bit Windows 10,DDR4,8GB,SSD,256GB,41150
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR4,8GB,SSD,256GB,33990
MSI,64 bit Windows 11,DDR5,16GB,SSD,1TB,190890
ASUS,64 bit Windows 11,LPDDR5,16GB,SSD,1TB,174990
HP,64 bit Windows 11,DDR4,16GB,SSD,1TB,118990
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
ASUS,64 bit Windows 11,DDR4,16GB,SSD,512GB,63980
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,54300
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
ASUS,Windows 11,DDR4,16GB,SSD,1TB,85990
DELL,64 bit Windows 11,DDR4,8GB,SSD,256GB,36400
ASUS,64 bit Windows 10,DDR4,4GB,SSD,256GB,28590
DELL,Windows 11,DDR4,16GB,SSD,512GB,69999
ASUS,64 bit Windows 11,DDR5,32GB,SSD,1TB,301990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,35590
ASUS,Windows 11,DDR4,16GB,SSD,1TB,150990
Lenovo,Windows 11,DDR4,8GB,SSD,256GB,37000
Lenovo,64 bit Windows 10,DDR4,16GB,SSD,512GB,64990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,73490
ASUS,64 bit Windows 11,DDR5,16GB,SSD,1TB,194990
DELL,64 bit Windows 11,DDR4,8GB,SSD,256GB,42690
ASUS,Windows 11,DDR5,16GB,SSD,1TB,140990
Lenovo,64 bit Windows 10,DDR4,4GB,SSD,256GB,38990
HP,64 bit Windows 11,LPDDR4X,16GB,SSD,512GB,128990
acer,64 bit Windows 11,DDR4,8GB,SSD,512GB,54999
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,256GB,36990
acer,64 bit Windows 10,DDR4,8GB,HDD,1TB,60130
acer,64 bit Windows 11,DDR4,8GB,SSD,256GB,29490
DELL,64 bit Windows 11,DDR4,8GB,SSD,512GB,72490
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,39990
GIGABYTE,64 bit Windows 11,DDR4,16GB,SSD,512GB,73990
acer,64 bit Windows 10,DDR4,8GB,HDD,1TB,47130
Lenovo,64 bit Windows 10,DDR4,8GB,SSD,512GB,55600
RedmiBook,Windows 11,DDR4,8GB,SSD,512GB,39990
DELL,64 bit Windows 10,DDR4,8GB,SSD,512GB,49690
ASUS,64 bit Windows 11,DDR5,32GB,SSD,1TB,239990
MSI,64 bit Windows 10,DDR4,16GB,SSD,512GB,73990
Lenovo,64 bit Windows 11,DDR4,8GB,SSD,512GB,38705
HP,64 bit Windows 10,DDR4,8GB,SSD,512GB,52490
HP,Windows 11,DDR4,8GB,SSD,512GB,41990
ASUS,64 bit Windows 11,DDR4,8GB,SSD,256GB,29990
ASUS,Windows 11,DDR5,16GB,SSD,1TB,196990
Nokia,64 bit Windows 10,DDR4,8GB,SSD,512GB,50490
